currency,date,rate,pct_change,rolling_vol_7d
AUD,2025-12-23,1.492926,-0.600951295380947,0.3785244665355496
AUD,2026-01-02,1.4945585,0.10934902332733198,0.37115785708462945
AUD,2026-01-05,1.497332,0.18557319770355907,0.3808535444309533
AUD,2026-01-06,1.4873045,-0.6696911573385256,0.4250355078590721
AUD,2026-01-07,1.485253,-0.13793409486759778,0.3899255970477558
AUD,2026-01-08,1.493115,0.5293374260142869,0.4732448274231764
AUD,2026-01-09,1.496826,0.24854080228247089,0.4473837407932532
AUD,2026-01-12,1.490576,-0.41755020289599987,0.4137045275689965
AUD,2026-01-13,1.492834,0.15148506349222934,0.41622908754165777
AUD,2026-01-14,1.496035,0.21442437672238857,0.41869044447517767
AUD,2026-01-15,1.493197,-0.18970144415070278,0.3208216433060104
AUD,2026-01-16,1.492586,-0.04091891424909955,0.31300011814263456
AUD,2026-01-19,1.491706,-0.058958076787529734,0.23977637140014255
AUD,2026-01-20,1.485684,-0.40369885218668466,0.2476932512273393
AUD,2026-01-21,1.4765,-0.6181664472391213,0.29649221674682685
AUD,2026-01-22,1.469145,-0.49813748730105356,0.2935003454413384
AUD,2026-01-23,1.456763,-0.8428031269888225,0.2999103328567294
AUD,2026-01-26,1.446121,-0.7305237708535972,0.31244287020397227
AUD,2026-01-27,1.439663,-0.4465739727173679,0.2549091229775596
AUD,2026-01-28,1.428193,-0.7967142310387865,0.17549911209447433
AWG,2025-12-01,1.8,,
AWG,2025-12-02,1.8,0.0,
AWG,2025-12-03,1.8025,0.1388888888888884,0.09820927516479792
AWG,2025-12-07,1.8,-0.1386962552011095,0.13879258318504523
AWG,2025-12-08,1.8,0.0,0.11332367417662098
AWG,2025-12-15,1.8,0.0,0.09814118305030481
AWG,2025-12-16,1.8025,0.1388888888888884,0.10449206011305415
AWG,2025-12-17,1.8,-0.1386962552011095,0.11332367222751906
AWG,2025-12-18,1.8025,0.1388888888888884,0.12488169819823713
AWG,2025-12-22,1.8025,0.0,0.11332367222751906
AWG,2025-12-23,1.800125,-0.13176144244105847,0.1119302766892329
AWG,2026-01-02,1.801875,0.0972154711478268,0.1176631677787937
AWG,2026-01-05,1.80125,-0.03468609087755592,0.11911825785036013
AWG,2026-01-06,1.8,-0.0693962526023606,0.10694226491869029
AWG,2026-01-07,1.8025,0.1388888888888884,0.10696187433607188
AWG,2026-01-08,1.8,-0.1386962552011095,0.10694226491869029
AWG,2026-01-09,1.80125,0.0694444444444331,0.11217562550401854
AWG,2026-01-12,1.8,-0.0693962526023606,0.10297951733093108
AWG,2026-01-13,1.8,0.0,0.09366934122606863
AWG,2026-01-14,1.80125,0.0694444444444331,0.09815252094698383
AWG,2026-01-15,1.8,-0.0693962526023606,0.09815252094698383
AWG,2026-01-16,1.8025,0.1388888888888884,0.09815252094698383
AWG,2026-01-19,1.8,-0.1386962552011095,0.09815252094698383
AWG,2026-01-20,1.8,0.0,0.09336110435325692
AWG,2026-01-21,1.8,0.0,0.0895964444214272
AWG,2026-01-22,1.8,0.0,0.0895964444214272
AWG,2026-01-23,1.8015,0.08333333333334636,0.09152280018473852
AWG,2026-01-26,1.8015,0.0,0.08609545458240236
AWG,2026-01-27,1.8,-0.08326394671107629,0.07114379379621404
AWG,2026-01-28,1.80125,0.0694444444444331,0.05478678329589186
AZN,2025-12-01,1.7,,
AZN,2025-12-02,1.7,0.0,
AZN,2025-12-03,1.7,0.0,0.0
AZN,2025-12-07,1.7,0.0,0.0
AZN,2025-12-08,1.7,0.0,0.0
AZN,2025-12-15,1.7,0.0,0.0
AZN,2025-12-16,1.7,0.0,0.0
AZN,2025-12-17,1.7,0.0,0.0
AZN,2025-12-18,1.7,0.0,0.0
AZN,2025-12-22,1.7,0.0,0.0
AZN,2025-12-23,1.7,0.0,0.0
AZN,2026-01-02,1.7,0.0,0.0
AZN,2026-01-05,1.7,0.0,0.0
AZN,2026-01-06,1.7,0.0,0.0
AZN,2026-01-07,1.7,0.0,0.0
AZN,2026-01-08,1.7,0.0,0.0
AZN,2026-01-09,1.7,0.0,0.0
AZN,2026-01-12,1.7,0.0,0.0
AZN,2026-01-13,1.7,0.0,0.0
AZN,2026-01-14,1.7,0.0,0.0
AZN,2026-01-15,1.7,0.0,0.0
AZN,2026-01-16,1.7,0.0,0.0
AZN,2026-01-19,1.7,0.0,0.0
AZN,2026-01-20,1.7,0.0,0.0
AZN,2026-01-21,1.7,0.0,0.0
AZN,2026-01-22,1.7,0.0,0.0
AZN,2026-01-23,1.7,0.0,0.0
AZN,2026-01-26,1.7,0.0,0.0
AZN,2026-01-27,1.7,0.0,0.0
AZN,2026-01-28,1.7,0.0,0.0
BAM,2025-12-01,1.681338,,
BAM,2025-12-02,1.684843,0.2084649249585846,
BAM,2025-12-03,1.680652,-0.24874721264830368,0.3232978029426276
BAM,2025-12-07,1.679303,-0.08026646801361226,0.23122662670180866
BAM,2025-12-08,1.678834,-0.02792825356711104,0.18889515469567067
BAM,2025-12-15,1.664171,-0.8734038028774704,0.4082100004919617
