id,timestamp_utc,base,currency,rate
234,2025-12-01T16:00:00,USD,HTG,130.721054
235,2025-12-01T16:00:00,USD,HUF,327.413352
236,2025-12-01T16:00:00,USD,IDR,16611.38076
237,2025-12-01T16:00:00,USD,ILS,3.258165
238,2025-12-01T16:00:00,USD,IMP,0.754593
239,2025-12-01T16:00:00,USD,INR,89.607435
240,2025-12-01T16:00:00,USD,IQD,1309.534475
241,2025-12-01T16:00:00,USD,IRR,42100.0
242,2025-12-01T16:00:00,USD,ISK,127.26
243,2025-12-01T16:00:00,USD,JEP,0.754593
244,2025-12-01T16:00:00,USD,JMD,160.345291
245,2025-12-01T16:00:00,USD,JOD,0.709
246,2025-12-01T16:00:00,USD,JPY,155.09757692
247,2025-12-01T16:00:00,USD,KES,129.25
248,2025-12-01T16:00:00,USD,KGS,87.45
249,2025-12-01T16:00:00,USD,KHR,3994.020668
250,2025-12-01T16:00:00,USD,KMF,424.999927
251,2025-12-01T16:00:00,USD,KPW,900.0
252,2025-12-01T16:00:00,USD,KRW,1466.651011
253,2025-12-01T16:00:00,USD,KWD,0.30682
254,2025-12-01T16:00:00,USD,KYD,0.833018
255,2025-12-01T16:00:00,USD,KZT,510.900302
256,2025-12-01T16:00:00,USD,LAK,21687.364692
257,2025-12-01T16:00:00,USD,LBP,89522.781136
258,2025-12-01T16:00:00,USD,LKR,308.440119
259,2025-12-01T16:00:00,USD,LRD,176.89484
260,2025-12-01T16:00:00,USD,LSL,17.075324
261,2025-12-01T16:00:00,USD,LYD,5.447715
262,2025-12-01T16:00:00,USD,MAD,9.243737
263,2025-12-01T16:00:00,USD,MDL,16.849293
264,2025-12-01T16:00:00,USD,MGA,4465.984735
265,2025-12-01T16:00:00,USD,MKD,52.976517
266,2025-12-01T16:00:00,USD,MMK,2099.7
267,2025-12-01T16:00:00,USD,MNT,3582.15
268,2025-12-01T16:00:00,USD,MOP,8.019325
269,2025-12-01T16:00:00,USD,MRU,39.754479
270,2025-12-01T16:00:00,USD,MUR,46.16
271,2025-12-01T16:00:00,USD,MVR,15.4
272,2025-12-01T16:00:00,USD,MWK,1733.348798
273,2025-12-01T16:00:00,USD,MXN,18.261566
274,2025-12-01T16:00:00,USD,MYR,4.131
275,2025-12-01T16:00:00,USD,MZN,63.909994
276,2025-12-01T16:00:00,USD,NAD,17.075324
277,2025-12-01T16:00:00,USD,NGN,1446.15
278,2025-12-01T16:00:00,USD,NIO,36.785185
279,2025-12-01T16:00:00,USD,NOK,10.115219
280,2025-12-01T16:00:00,USD,NPR,143.193168
281,2025-12-01T16:00:00,USD,NZD,1.741678
282,2025-12-01T16:00:00,USD,OMR,0.384511
283,2025-12-01T16:00:00,USD,PAB,1.0
284,2025-12-01T16:00:00,USD,PEN,3.3607
285,2025-12-01T16:00:00,USD,PGK,4.295834
286,2025-12-01T16:00:00,USD,PHP,58.499499
287,2025-12-01T16:00:00,USD,PKR,282.415172
288,2025-12-01T16:00:00,USD,PLN,3.635611
289,2025-12-01T16:00:00,USD,PYG,6987.423812
290,2025-12-01T16:00:00,USD,QAR,3.65376
291,2025-12-01T16:00:00,USD,RON,4.3754
292,2025-12-01T16:00:00,USD,RSD,100.907
293,2025-12-01T16:00:00,USD,RUB,77.728995
294,2025-12-01T16:00:00,USD,RWF,1454.475965
295,2025-12-01T16:00:00,USD,SAR,3.752958
296,2025-12-01T16:00:00,USD,SBD,8.230592
297,2025-12-01T16:00:00,USD,SCR,14.423097
298,2025-12-01T16:00:00,USD,SDG,601.5
299,2025-12-01T16:00:00,USD,SEK,9.42728
300,2025-12-01T16:00:00,USD,SGD,1.295025
301,2025-12-01T16:00:00,USD,SHP,0.754593
302,2025-12-01T16:00:00,USD,SLE,22.96
303,2025-12-01T16:00:00,USD,SLL,20969.5
304,2025-12-01T16:00:00,USD,SOS,570.303604
305,2025-12-01T16:00:00,USD,SRD,38.5345
306,2025-12-01T16:00:00,USD,SSP,130.26
307,2025-12-01T16:00:00,USD,STD,22281.8
308,2025-12-01T16:00:00,USD,STN,21.061862
309,2025-12-01T16:00:00,USD,SVC,8.74626
310,2025-12-01T16:00:00,USD,SYP,13002.0
311,2025-12-01T16:00:00,USD,SZL,17.0816
312,2025-12-01T16:00:00,USD,THB,31.9895
313,2025-12-01T16:00:00,USD,TJS,9.231371
314,2025-12-01T16:00:00,USD,TMT,3.51
315,2025-12-01T16:00:00,USD,TND,2.946082
316,2025-12-01T16:00:00,USD,TOP,2.40776
317,2025-12-01T16:00:00,USD,TRY,42.431255
318,2025-12-01T16:00:00,USD,TTD,6.775902
319,2025-12-01T16:00:00,USD,TWD,31.411001
320,2025-12-01T16:00:00,USD,TZS,2459.535
321,2025-12-01T16:00:00,USD,UAH,42.349438
322,2025-12-01T16:00:00,USD,UGX,3598.571905
323,2025-12-01T16:00:00,USD,USD,1.0
324,2025-12-01T16:00:00,USD,UYU,39.283503
325,2025-12-01T16:00:00,USD,UZS,11936.29283
326,2025-12-01T16:00:00,USD,VES,245.362514
327,2025-12-01T16:00:00,USD,VND,26374.786164
328,2025-12-01T16:00:00,USD,VUV,122.16
329,2025-12-01T16:00:00,USD,WST,2.816
330,2025-12-01T16:00:00,USD,XAF,564.075818
